source,target,person
bilbao,pau,arqueoclio
pau,oviedo,arqueoclio
oviedo,clermontferrand,arqueoclio
lospalaciosyvillafranca,sevilla,naivebayes
sevilla,lospalaciosyvillafranca,naivebayes
lospalaciosyvillafranca,amsterdam,naivebayes
zafra,sevilla,ladelsuroeste
sevilla,badajoz,ladelsuroeste
badajoz,zafra,ladelsuroeste
doshermanas,gante,mariadiva
gante,doshermanas,mariadiva
doshermanas,liverpool,mariadiva
liverpool,sevilla,mariadiva
utrillas,zaragoza,tomcody
alcantarilla,sevilla,cofiliquili
sevilla,madrid,cofiliquili
madrid,sevilla,cofiliquili
sevilla,perugia,cofiliquili
perugia,sevilla,cofiliquili
sevilla,pavia,cofiliquili
pavia,sevilla,cofiliquili
sevilla,jaen,cofiliquili
jaen,malaga,cofiliquili
malaga,aracena,cofiliquili
napoles,paris,lorestan
paris,salerno,lorestan
salerno,milan,lorestan
milan,roma,lorestan
roma,madrid,lorestan
madrid,fregenaldelasierra,gonzaloromero
fregenaldelasierra,sevilla,gonzaloromero
sevilla,roma,gonzaloromero
roma,granada,gonzaloromero
granada,jun,joseluis
jun,jaen,joseluis
albacete,cartagena,mt
cartagena,valenciennes,mt
valenciennes,elpuertodesantamaria,mt
